,Unnamed: 0,ticker,ep,roa,sector,price,currency,roa_place,ep_place,total_place
861,1395,PEN,0.5598383990051469,4.015696885919316,Healthcare,229.34,USD,990,987,1977
914,1464,MUR,0.8015980488863912,2.355617389167183,Energy,32.38,USD,1019,963,1982
222,367,MGNT,-8.948902933364963,6.232699473755892,Industrials,0.0088,USD,931,1057,1988
1114,1789,CNTL.ME,0.9643800644812917,1.522643162072802,Communication Services,11.52,RUB,1033,955,1988
205,342,HXL,0.6774190764093426,2.531801901938989,Industrials,56.975,USD,1016,975,1991
479,797,IRDM,0.6491585307243466,2.5841628999458304,Communication Services,35.39,USD,1014,978,1992
144,234,MRO,0.7979659668083019,1.6705336426914157,Energy,21.4214,USD,1029,964,1993
858,1389,SHEN,0.7810413232110528,1.5336723539755717,Communication Services,22.57,USD,1032,967,1999
1107,1774,SHOP,0.5462709108719769,2.489778464913718,Technology,746.85,USD,1017,989,2006
968,1547,TNDM,0.3662226287328857,2.788133286371739,Healthcare,117.34,USD,1011,999,2010
128,205,EXPE,-0.7756815717014872,4.396024464831804,Consumer Cyclical,213.46,USD,979,1034,2013
923,1481,OSUR,0.7393575707016251,0.7185470439464571,Healthcare,8.585,USD,1045,971,2016
379,652,CEVA,0.5465400854449781,1.609945779499256,Technology,41.71,USD,1030,988,2018
476,792,DV,0.3775614467548694,2.0730792792412176,Technology,27.77,USD,1023,997,2020
162,264,SITM,0.3269256040950026,2.26420652129444,Technology,216.88,USD,1020,1001,2021
784,1278,TCMD,0.4630788476284118,1.5370287955957738,Healthcare,15.53,USD,1031,991,2022
946,1512,DNLI,0.5823260768001598,1.263846915995997,Healthcare,35.43,USD,1038,985,2023
592,962,APLE,0.5729318292670684,1.003905333852284,Real Estate,17.675,USD,1043,986,2029
817,1328,DNOW,0.5908319134903912,0.6244424620874219,Energy,9.875,USD,1047,984,2031
580,941,CVGW,0.3027677334094456,1.2582371412144533,Consumer Defensive,40.9,USD,1039,1002,2041
596,971,SPOT,0.1215678947145936,1.9052044609665424,Communication Services,163.745,USD,1026,1016,2042
954,1524,OFIX,0.3774672236777504,0.6557054732237214,Healthcare,33.12,USD,1046,998,2044
278,470,CONE,0.2449907680240245,1.3445554236222672,Real Estate,89.825,USD,1037,1008,2045
1109,1777,LTHM,0.2888598681622559,1.0829043138647256,Basic Materials,25.08,USD,1041,1005,2046
781,1269,BAND,0.1458497789228478,1.4127943555635447,Technology,59.33,USD,1036,1014,2050
930,1489,VLO,0.2417017364043775,0.7561608891723226,Energy,88.24,USD,1044,1009,2053
617,1011,INGN,0.2462182521389457,0.2488228161073402,Healthcare,30.68,USD,1050,1007,2057
137,225,RUGR.ME,-1.889613263077356,2.183641409411623,Consumer Defensive,11.928,RUB,1022,1037,2059
621,1015,RIG,0.1686319112439768,0.1548492257538712,Energy,3.75,USD,1053,1012,2065
1074,1719,MRC,0.1172316788607563,0.5524861878453038,Energy,8.71,USD,1048,1017,2065
503,834,HHC,0.1112232970893199,0.2444086613416958,Real Estate,96.85,USD,1051,1018,2069
1090,1746,JOBS,-17.969021269931442,3.028433154840058,Industrials,49.81,USD,1008,1061,2069
1023,1640,AVIR,-77.1108553187423,3.255657093498838,Healthcare,6.36,USD,1005,1066,2071
472,782,AZTA,0.0503065320528099,0.3048863506401796,Healthcare,85.57,USD,1049,1024,2073
763,1245,HSKA,0.071502528810429,0.182020732236929,Healthcare,131.53,USD,1052,1023,2075
1093,1753,DASB.ME,-2.718240501986752,1.4216245509204335,Utilities,0.1057,RUB,1035,1043,2078
823,1335,VCRA,0.0120793805454666,0.1340873947035479,Technology,79.2,USD,1054,1027,2081
915,1465,SRI,0.0255055609562006,0.0451816301532159,Consumer Cyclical,15.7,USD,1057,1025,2082
620,1014,VCEL,0.01725102267451,0.1039243826396793,Healthcare,36.13,USD,1056,1026,2082
929,1488,HTHT,0.0016211293942725,0.1067235859124866,Consumer Cyclical,45.3,USD,1055,1028,2083
